Id,days_logged,first_date,last_date,valid_days,mean_steps,mean_active,mean_sedentary,mean_calories,mean_active_share,engagement_score,rule_segment,sleep_logger,mean_sleep,sleep_days,cluster,persona
4558609924,31,2016-04-12,2016-05-12,31,7685.129032258064,309.06451612903226,1093.6129032258063,2033.258064516129,0.22098086111669932,100.0,Keep momentum,True,127.6,5.0,1,Routine builders
4702921684,31,2016-04-12,2016-05-12,30,8857.8,277.6,743.9666666666667,2997.1666666666665,0.27763273579627123,96.7741935483871,Keep momentum,True,417.48148148148147,27.0,1,Routine builders
5553957443,31,2016-04-12,2016-05-12,31,8612.58064516129,242.61290322580646,668.3548387096774,1875.6774193548388,0.2635379965853557,100.0,Keep momentum,True,463.48387096774195,31.0,1,Routine builders
5577150313,30,2016-04-12,2016-05-11,28,8897.607142857143,284.0357142857143,705.4642857142857,3469.6785714285716,0.2962874507146159,90.3225806451613,Keep momentum,True,432.0,26.0,1,Routine builders
6117666160,28,2016-04-12,2016-05-09,23,8578.608695652174,355.4347826086956,656.3478260869565,2427.4347826086955,0.3727841689960817,74.19354838709677,Keep momentum,True,478.77777777777777,18.0,1,Routine builders
6290855005,29,2016-04-12,2016-05-10,24,6826.541666666667,281.375,1142.9583333333333,2772.7083333333335,0.19809876253132833,77.41935483870968,Build routine,False,,,0,Gentle starters
6775888955,26,2016-04-12,2016-05-07,16,4093.9375,107.125,1211.625,2313.375,0.0825794359233817,51.61290322580645,Reconnect,True,349.6666666666667,3.0,0,Gentle starters
6962181067,31,2016-04-12,2016-05-12,31,9794.806451612903,287.1290322580645,662.3225806451613,1982.032258064516,0.305564958487478,100.0,Keep momentum,True,448.0,31.0,1,Routine builders
7007744171,26,2016-04-12,2016-05-07,24,12267.041666666666,355.375,1078.6666666666667,2686.125,0.24744622152163265,77.41935483870968,Keep momentum,True,68.5,2.0,1,Routine builders
7086361926,31,2016-04-12,2016-05-12,29,10017.034482758621,226.27586206896552,809.8965517241379,2630.793103448276,0.22369768039521296,93.54838709677419,Keep momentum,True,453.125,24.0,1,Routine builders
8053475328,31,2016-04-12,2016-05-12,31,14763.290322580646,245.70967741935485,1148.0,2945.8064516129034,0.17733023704620263,100.0,Keep momentum,True,297.0,3.0,1,Routine builders
8253242879,19,2016-04-12,2016-04-30,18,6842.277777777777,160.16666666666666,1278.888888888889,1887.3333333333333,0.11130336165985616,58.064516129032256,Reconnect,False,,,0,Gentle starters
8378563200,31,2016-04-12,2016-05-12,31,8717.709677419354,225.03225806451613,716.1290322580645,3436.5806451612902,0.2365388844125607,100.0,Keep momentum,True,445.1290322580645,31.0,1,Routine builders
8583815059,31,2016-04-12,2016-05-12,25,7630.2,211.0,1225.76,2837.56,0.1469466519499632,80.64516129032258,Keep momentum,False,,,0,Gentle starters
8792009665,29,2016-04-12,2016-05-10,19,2829.3684210526317,147.73684210526315,934.0,2192.5263157894738,0.14488115564710122,61.29032258064516,Reconnect,True,435.6666666666667,15.0,0,Gentle starters
8877689391,31,2016-04-12,2016-05-12,31,16040.032258064517,310.7096774193548,1112.8709677419354,3420.2580645161293,0.21774244077936777,100.0,Keep momentum,False,,,1,Routine builders
