Id,study_week,valid_days,moderate_equivalent,moderate_minutes,who_proxy,moderate_only_flag
4020332650,3,1,11.0,11.0,,
4020332650,4,7,201.0,93.0,1.0,0.0
4057192912,1,3,12.0,6.0,,
4319703577,1,5,53.0,33.0,,
4319703577,2,7,54.0,50.0,0.0,0.0
4319703577,3,7,221.0,143.0,1.0,0.0
4319703577,4,7,234.0,126.0,1.0,0.0
4388161847,1,6,154.0,66.0,,
4388161847,2,7,551.0,139.0,1.0,0.0
4388161847,3,7,390.0,158.0,1.0,1.0
4388161847,4,7,898.0,236.0,1.0,1.0
4445114986,1,7,56.0,6.0,0.0,0.0
4445114986,2,7,0.0,0.0,0.0,0.0
4445114986,3,7,182.0,6.0,1.0,0.0
4445114986,4,7,136.0,20.0,0.0,0.0
4558609924,1,7,213.0,83.0,1.0,0.0
4558609924,2,7,170.0,70.0,1.0,0.0
4558609924,3,7,248.0,124.0,1.0,0.0
4558609924,4,7,359.0,99.0,1.0,0.0
4702921684,1,7,204.0,128.0,1.0,0.0
4702921684,2,7,346.0,254.0,1.0,1.0
4702921684,3,6,202.0,128.0,,
4702921684,4,7,273.0,219.0,1.0,1.0
5553957443,1,7,368.0,92.0,1.0,0.0
5553957443,2,7,481.0,97.0,1.0,0.0
5553957443,3,7,419.0,71.0,1.0,0.0
5553957443,4,7,403.0,97.0,1.0,0.0
5577150313,1,7,1900.0,236.0,1.0,1.0
5577150313,2,7,1594.0,270.0,1.0,1.0
5577150313,3,7,1742.0,272.0,1.0,1.0
5577150313,4,5,549.0,65.0,,
6117666160,1,4,35.0,21.0,,
6117666160,2,6,103.0,29.0,,
6117666160,3,7,7.0,7.0,0.0,0.0
6117666160,4,6,0.0,0.0,,
6290855005,1,7,74.0,12.0,0.0,0.0
6290855005,2,5,19.0,3.0,,
6290855005,3,5,111.0,95.0,,
6290855005,4,7,0.0,0.0,0.0,0.0
6775888955,1,6,319.0,115.0,,
6775888955,2,4,372.0,144.0,,
6775888955,3,4,198.0,86.0,,
6775888955,4,2,68.0,40.0,,
6962181067,1,7,348.0,96.0,1.0,0.0
6962181067,2,7,695.0,177.0,1.0,1.0
6962181067,3,7,409.0,123.0,1.0,0.0
6962181067,4,7,315.0,129.0,1.0,0.0
7007744171,1,7,449.0,67.0,1.0,0.0
7007744171,2,7,703.0,183.0,1.0,1.0
7007744171,3,7,508.0,106.0,1.0,0.0
7007744171,4,3,377.0,67.0,,
7086361926,1,5,568.0,136.0,,
7086361926,2,7,786.0,186.0,1.0,1.0
7086361926,3,7,863.0,181.0,1.0,1.0
7086361926,4,7,874.0,216.0,1.0,1.0
8053475328,1,7,1608.0,66.0,1.0,0.0
8053475328,2,7,1499.0,77.0,1.0,0.0
8053475328,3,7,639.0,33.0,1.0,0.0
8053475328,4,7,1442.0,100.0,1.0,0.0
8253242879,1,7,435.0,101.0,1.0,0.0
8253242879,2,7,386.0,122.0,1.0,0.0
8253242879,3,4,231.0,49.0,,
8378563200,1,7,1194.0,104.0,1.0,0.0
8378563200,2,7,1257.0,81.0,1.0,0.0
8378563200,3,7,537.0,53.0,1.0,0.0
8378563200,4,7,653.0,51.0,1.0,0.0
8583815059,1,5,64.0,52.0,,
8583815059,2,7,349.0,203.0,1.0,1.0
8583815059,3,6,493.0,221.0,,
8583815059,4,5,240.0,98.0,,
8792009665,1,5,0.0,0.0,,
8792009665,2,5,107.0,83.0,,
8792009665,3,7,66.0,34.0,0.0,0.0
8792009665,4,2,0.0,0.0,,
8877689391,1,7,1184.0,88.0,1.0,0.0
8877689391,2,7,1216.0,62.0,1.0,0.0
8877689391,3,7,742.0,40.0,1.0,0.0
8877689391,4,7,980.0,94.0,1.0,0.0
